ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10001,AAS,1020,100,Lecture,4,Ashon Crawley,TuTh 12:30pm - 1:45pm,Minor Hall 125,Introduction to African-American and African Studies II,,Open,20,180,0
10006,AAS,1020,101,Discussion,0,Staff,Tu 6:00pm - 6:50pm,New Cabell Hall 111,Introduction to African-American and African Studies II,,Open,1,20,0
10005,AAS,1020,102,Discussion,0,Staff,Tu 5:00pm - 5:50pm,New Cabell Hall 111,Introduction to African-American and African Studies II,,Open,3,20,0
10004,AAS,1020,103,Discussion,0,Staff,We 5:00pm - 5:50pm,TBA,Introduction to African-American and African Studies II,,Open,4,20,0
10003,AAS,1020,104,Discussion,0,Staff,We 7:00pm - 7:50pm,New Cabell Hall 107,Introduction to African-American and African Studies II,,Open,1,20,0
10007,AAS,1020,105,Discussion,0,Staff,Tu 7:00pm - 7:50pm,New Cabell Hall 107,Introduction to African-American and African Studies II,,Open,5,20,0
10002,AAS,1020,106,Discussion,0,Staff,We 6:00pm - 6:50pm,New Cabell Hall 287,Introduction to African-American and African Studies II,,Open,2,20,0
13095,AAS,1020,107,Discussion,0,Staff,Tu 4:00pm - 4:50pm,New Cabell Hall 291,Introduction to African-American and African Studies II,,Open,3,20,0
13096,AAS,1020,108,Discussion,0,Staff,Tu 5:00pm - 5:50pm,New Cabell Hall 107,Introduction to African-American and African Studies II,,Open,1,20,0
13097,AAS,1020,109,Discussion,0,Staff,Tu 6:00pm - 6:50pm,New Cabell Hall 107,Introduction to African-American and African Studies II,,Open,0,20,0
11702,AAS,2224,1,SEM,3,Lisa Shutt,Tu 2:00pm - 4:30pm,New Cabell Hall 315,Black Femininities and Masculinities in the US Media,,Open,16,20,0
11922,AAS,2224,2,SEM,3,Lisa Shutt,We 2:00pm - 4:30pm,New Cabell Hall 315,Black Femininities and Masculinities in the US Media,,Open,6,20,0
19474,AAS,2224,3,SEM,3,Lisa Shutt,Th 2:00pm - 4:30pm,New Cabell Hall 315,Black Femininities and Masculinities in the US Media,,Open,8,20,0
18124,AAS,2559,1,SEM,3,Tony Perry,We 3:30pm - 6:00pm,New Cabell Hall 209,New Course in African and African American Studies,Reckoning with Slavery,Open,5,20,0
18125,AAS,2559,2,SEM,3,Sabrina Pendergrass,TuTh 11:00am - 12:15pm,New Cabell Hall 283,New Course in African and African American Studies,The Souls of Black Folk,Open,16,20,0
18127,AAS,3200,1,SEM,3,Mark Hadley,TuTh 9:30am - 10:45am,Brooks Hall 103,"Martin, Malcolm and America",,Closed,10,20,0
